Hyperfind 	Profile
JHCP-4405013001-Sibley Mob                          	JHCP
JHCP-4405014001-DC @ I Street                       	JHCP
JHCP-4405014052-DC @ I Street Physic                	JHCP
JHCP-4405015001-Urbana                              	JHCP
JHCP-4405015052-Urbana Phys                         	JHCP
JHCP-4405016052-Suburban Urology Phy                	JHCP
JHCP-4405019001-Sibley SPG                          	JHCP
JHCP-4405019052-Sibley SPG PHYS                     	JHCP
JHCP-4405032001-McLean Fam Staff                    	JHCP
JHCP-4405032052-McLean Fam Provider                 	JHCP
JHCP-4405052000-Rockville Peds                      	JHCP
JHCP-4405052052-Rockville Peds Provider             	JHCP
JHCP-5502002012-Odtn Shared Suite                   	JHCP
AdmReg-60012051-Rev Cycle I JHH                     	JHADMREG
AdmReg-60012052-Rev Cycle I JHBMC                   	JHADMREG
AdmReg-60012062-Rev Cycle II JHH                    	JHADMREG
AdmReg-60012063-Mgmt Svcs III                       	JHADMREG
AdmReg-60012064-Mgmt Svcs II                        	JHADMREG
AdmReg-60012065-Rev Cycle VII JHH                   	JHADMREG
AdmReg-60012066-Rev Cycle IX JHH                    	JHADMREG
AdmReg-60012067-Rev Cycle VIII JHH                  	JHADMREG
AdmReg-60012068-Rev Cycle VI JHH                    	JHADMREG
AdmReg-60012069-Rev Cycle V JHH                     	JHADMREG
AdmReg-60012070-Rev Cycle IV JHH                    	JHADMREG
AdmReg-60012071-Rev Cycle III JHH                   	JHADMREG
AdmReg-60012101-Mgmt Svcs IV                        	JHADMREG
(Needs Job)ASC GS-OR-GROUP A                        	JHACS-GSS
(Needs Job)ASC GS-OR-GROUP B - Brown                	JHACS-GSS
(Needs Job)ASC GS-OR-GROUP C - Yellow               	JHACS-GSS
(Needs Job)ASC GS-PACU-GROUP A                      	JHACS-GSS
(Needs Job)ASC GS-PACU-GROUP B                      	JHACS-GSS
(Needs Job)ASC GS-PACU-GROUP C                      	JHACS-GSS
(Needs Job)ASC GS-PACU-GROUP D                      	JHACS-GSS
(Needs Job)ASC GS-PACU CHRG-GROUP A                 	JHACS-GSS
(Needs Job)ASC GS-PACU CHRG-GROUP B                 	JHACS-GSS
(Needs Job)ASC GS-PACU CHRG-GROUP C                 	JHACS-GSS
(Needs Job)ASC GS-PACU CHRG-GROUP D                 	JHACS-GSS
ASC GS-FERTILITY ASC A                              	JHACS-GSS
ASC GS-FERTILITY ASC B                              	JHACS-GSS
JHSC-4680020010-GS Pavillion II                     	JHACS-GSS
JHSC-4680020020-Knoll North                         	JHACS-GSS
JHSC-4680020030-White Marsh                         	JHACS-GSS
JHSC-4680020040-Lutherville                         	JHACS-GSS
JHSC-4680020050-Bethesda                            	JHACS-GSS
JHSC-4680020060-Bel Air                             	JHACS-GSS
JHSC-4680020070-Howard County                       	JHACS-GSS
JHSC-4680020080-Fertility Ctr ASC                   	JHACS-GSS
PTO Balance < 0	ALL
Terminated Employees - Global	ALL
Terminated Employees - Global with Hrs	ALL
Total Add'l Straight Time Hrs	ALL
Total Callback Hours	ALL
Total FMLA Hours	ALL
Total Holiday Hours	ALL
Total Oncall Hours	ALL
Total Overtime Hours	ALL
JHHR OR-WB OnCall Eligible	JHHR
JHHR-Diagnostics-ED	JHHR
JHHR-Diagnostics-JHHR Diag.	JHHR
JHHR-Diagnostics-JHOC	JHHR
JHHR-Diagnostics-OR-WB	JHHR
JHHR-Diagnostics-PEDS	JHHR
JHHR-Diagnostics-Tower	JHHR
JHHR-Inpatient MRI-Blalock MRI	JHHR
JHHR-Inpatient MRI-JHHR MRI	JHHR
JHHR-Inpatient MRI-JHOC 3FL	JHHR
JHHR-Inpatient MRI-MRI Build	JHHR
JHHR-Inpatient MRI-Zayed 1FL	JHHR
JHHR-Inpatient MRI-Zayed 3FL	JHHR
JHHR-Inpatient MRI-Zayed 4FL	JHHR
JHHR-Inpatient MRI-Zayed 5th	JHHR
JHHR-Nuc.Med-JHOC AN02	JHHR
JHHR-Nuc.Med-JHOC AN03	JHHR
JHHR-Nuc.Med-JHOC AN04	JHHR
JHHR-Nuc.Med-JHOC AN05	JHHR
JHHR-Nuc.Med-JHOC Cardiac	JHHR
JHHR-Nuc.Med-JHOC Charge	JHHR
JHHR-Nuc.Med-JHOC DEXA	JHHR
JHHR-Nuc.Med-Nel. Bsmt Charge	JHHR
JHHR-Nuc.Med-Nel. Bsmt NightQC	JHHR
JHHR-Nuc.Med-Nel. Bsmt NM01	JHHR
JHHR-Nuc.Med-Nel. Bsmt NM02	JHHR
JHHR-Nuc.Med-Nel. Bsmt NM03	JHHR
JHHR-Nuc.Med-Nuclear Med	JHHR
JHHR-Nuc.Med-PEDS	JHHR
JHHR-OnCall Hrs	JHHR
JHHR-Called Back Hrs	JHHR
(TBD Exceptions)Exceptions-Cancelled Deductions	ALL
(TBD Exceptions)Exceptions-LateIn and EarlyOut	ALL
(TBD Exceptions)Exceptions-Missed Punches	ALL
(TBD Exceptions)Exceptions-Unexcused Absences	ALL
