SHORTNM,VALUETXT
aaa SMH - PCC, 00325758# 00199140# 00326619# 00239542# 00245114# 00318975# 00320916# 00189562# 00333367# 00188243# 00211514# 00326269# 00289023# 00322484^----^PersonNum
Accrual Balances for PPL, UN01#UN02#UN03#UN04#UN05#UN06#UN07#UN08#UN09#UN10#UN11#UN12#UN14#UN15#UN16#UN17^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus^----^1601^----^Balance^----^0^----^Hours^----^AccrualItem
Accrual Balances in Negatives, UN01#UN02#UN03#UN04#UN05#UN06#UN07#UN08#UN09#UN10#UN11#UN12#UN14#UN15#UN16#UN17^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
Accrual Balances more than 0 - HS01, 3^----^$now^----^EmploymentStatus^----^HS01^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS02, 3^----^$now^----^EmploymentStatus^----^HS02^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS03, 3^----^$now^----^EmploymentStatus^----^HS03^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS04-HS05-HS07-HS08, 3^----^$now^----^EmploymentStatus^----^HS04#HS05#HS07#HS08^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS06, 3^----^$now^----^EmploymentStatus^----^HS06^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS10, 3^----^$now^----^EmploymentStatus^----^HS10^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS11, 3^----^$now^----^EmploymentStatus^----^HS11^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS20-HS21, 3^----^$now^----^EmploymentStatus^----^HS20#HS21^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS30-HS31-HS32, 3^----^$now^----^EmploymentStatus^----^HS30#HS31#HS32^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS40, 3^----^$now^----^EmploymentStatus^----^HS40^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
Accrual Balances more than 0 - HS50, 3^----^$now^----^EmploymentStatus^----^HS50^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
ACH Part Time, =^----^5952^----^PayRule
ACH-60005822-6550087517, 6550087517^----^1^----^60005822^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
ACH-60005929-6550087517, 6550087517^----^1^----^60005929^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
ACH-60005958-6500002402, 6500002402^----^1^----^60005958^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
ACH-6500000100 Nurse Adm, 6500000100^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
ACH-6500001004 Advanced org, 6500001004^----^1^----^60005793^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
ACH-6500001004 Basic Org Unit, 1^----^$now^----^EmploymentStatus
ACH-6500002003 Plant Opr Engin, 1^----^$now^----^EmploymentStatus^----^6500002003^----^1^----^HomeAcct
ACH-Agency and Non-employees, *^----^*^----^HomeAcct^----^0^----^*^----^*^----^*^----^TL1#TL7^----^*
ACH-All Active Employees, HS50^----^1^----^HomeAcct^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1#TL7^----^*^----^1^----^$now^----^EmploymentStatus^----^1^----^$now^----^UserStatus
ACH-All Home-Active and Terms, HS50^----^1^----^HomeAcct
ACH-All Worked Active and Term, HS50^----^WorkedAcct
ACH-Call Back or On Call Hours, HS50^----^1^----^HomeAcct
ACH-Call Back w/no On-Call Hrs, HS50^----^1^----^HomeAcct^----^402^----^0^----^Hours^----^WorkedItem^----^107^----^0^----^Hours^----^WorkedItem^----^6533^----^0^----^Hours^----^WorkedItem^----^6534^----^0^----^Hours^----^WorkedItem^----^6535^----^0^----^Hours^----^WorkedItem
ACH-DF20, HS50^----^1^----^HomeAcct^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1#TL7^----^*^----^1^----^$now^----^EmploymentStatus^----^1^----^$now^----^UserStatus^----^9351^----^0:01^----^Hours^----^WorkedItem
ACH-Exceptions, HS50^----^1^----^HomeAcct
ACH-Exempt 8, =^----^3502^----^PayRule
ACH-Exempt Employees, 1^----^$now^----^EmploymentStatus^----^HS50^----^1^----^HomeAcct
ACH-FMLA/STD/EIB Hours, HS50^----^1^----^HomeAcct
ACH-MDs, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^80800100#80800200#80800300#80800400#80900100#80900200#80900300#80900400#80900500#80900600#80900700#80900800#80900900#80901000#80901100#80901200#80901300#80902000^----^1^----^$now^----^EmploymentStatus
ACH-Missed Punch or Unexcused, UnexcusedAbsence
ACH-MRI-6500001404, 6500001404^----^0^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
ACH-Non-Exempt Employees, 1^----^$now^----^EmploymentStatus
ACH-Non-Productive Hours, 6566^----^0^----^Hours^----^WorkedItem^----^HS50^----^1^----^HomeAcct
ACH-Sodexo Employees, *^----^*^----^HomeAcct^----^0^----^*^----^*^----^*^----^TL1#TL7^----^*^----^1^----^$now^----^UserStatus
ACH-Transferred-In Employees, 1^----^$now^----^EmploymentStatus^----^HS50^----^WorkedAcctTransfer
ACH-Unpaid Time, 6508^----^1^----^Hours^----^WorkedItem^----^HS50^----^1^----^HomeAcct
Active Exceptions (All Home), 3^----^$now^----^EmploymentStatus
AdmReg-60012051-Rev Cycle I JHH, *^----^60012051^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012052-Rev Cycle I JHBMC, *^----^60012052^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012062-Rev Cycle II JHH, *^----^60012062^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012063-Mgmt Svcs III, *^----^60012063^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012064-Mgmt Svcs II, *^----^60012064^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012065-Rev Cycle VII JHH, *^----^60012065^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012066-Rev Cycle IX JHH, *^----^60012066^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012067-Rev Cycle VIII JHH, *^----^60012067^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012068-Rev Cycle VI JHH, *^----^60012068^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012069-Rev Cycle V JHH, *^----^60012069^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
AdmReg-60012070-Rev Cycle IV JHH, *^----^60012070^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012071-Rev Cycle III JHH, *^----^60012071^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
AdmReg-60012101-Mgmt Svcs IV, *^----^60012101^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
Agency - Missed Punches, MissedPunch
Agency Hours - Global, 1^----^$now^----^EmploymentStatus^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1#TL2#TL3#TL4#TL5#TL6#TL7#TL8#TL9^----^*
Agency Hours - Intrastaff, 1^----^$now^----^EmploymentStatus^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1^----^*
Agency with Transfers, TL*^----^1^----^HomeAcct
All Home, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1#TL2#TL3#TL4#TL5#TL6#TL7#TL8#TL9#S00^----^*
All Home employee active as of 3.1.2020, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1#TL2#TL3#TL4#TL5#TL6#TL7#TL8#TL9#S00^----^*^----^1^----^{ts '2020-03-01 00:00:00.0'}^----^EmploymentStatus
ASC GS - OR - GROUP A - PINK, ASC GS OR - Group A - PINK^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ASC GS - OR - GROUP B - Brown, ASC GS OR - Group B - BROWN^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ASC GS - OR - GROUP C - Yellow, ASC GS OR - Group C - YELLOW^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ASC GS - PACU - GROUP A, ASC GS - Group A^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ASC GS - PACU - GROUP B, ASC GS - Group B^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ASC GS - PACU - GROUP C, ASC GS - Group C^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ASC GS - PACU - GROUP D, ASC GS - Group D^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ASC GS - PACU CHRG - GROUP A, ASC GS - Group A^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob^----^{ts '2020-02-20 00:00:00.0'}^----^=^----^2^----^661^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFDateNumberBean.ItemType.Skill_Active
ASC GS - PACU CHRG - GROUP B, ASC GS - Group B^----^GroupSchedule^----^{ts '2021-01-28 00:00:00.0'}^----^=^----^2^----^661^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFDateNumberBean.ItemType.Skill_Active^----^=^----^1^----^34362^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ASC GS - PACU CHRG - GROUP C, ASC GS - Group C^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob^----^{ts '2020-02-20 00:00:00.0'}^----^=^----^2^----^661^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFDateNumberBean.ItemType.Skill_Active
ASC GS - PACU CHRG - GROUP D, ASC GS - Group D^----^GroupSchedule^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob^----^{ts '2020-02-20 00:00:00.0'}^----^=^----^2^----^661^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFDateNumberBean.ItemType.Skill_Active
BCC - Global Exceptions, 4100000000#4100000001#4100020520#4100050000#4100050001#4100050002#4100050003#4100050004#4100050005#4100050006#4100050007#4100050008#4100050010#4100050300#4100050301#4100050302#4100050303#4100050304#4100050310#4100050400#4100050401#4100350300#4100350301#4100350302#4100450300#4100450301#4100450402#4100550300#4100650300#4100750300#4101150300#4101350400#4101350401#4101350402#4102150300#4102150301#4103157400#4103357401#4103957402#4104657000#4104657001#4104657002#4104657003#4104657004#4104657005#4104657006#4104657007#4104657008#4104657009#4104657010#4104657400#4104657401#4104657402#4104657500#4104657501#4105557400#4105557401#4105557402#4109999998#4109999999^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
BCC Chesapeake 4, 1^----^10002314^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BCC Chronic Plaza, 3^----^$now^----^EmploymentStatus
BCC except RT, 1^----^$now^----^EmploymentStatus^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^4101350400#4101350401#4101350402#4104657000#4104657001#4104657002#4104657003#4104657004#4104657005#4104657006#4104657007#4104657008#4104657009#4104657010#4104657401#4104657402#4104657500#4104657501#4001350307#4001350400#4001350303#4004657012#4004657013#4004657014#4004657017#4004657016^----^*^----^*
BCC FLOAT CA, 1^----^10002308^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BCC Float Pool, 1^----^10002308^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BCC Global, =^----^1^----^770^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob_IncludeChildrenNodes^----^1^----^$now^----^EmploymentStatus
BCC Lakeside, 1^----^60000401^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BCC Nursing Administration, 1^----^10002307^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
BCC PCC, 1^----^10002310^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BCC RT, 1^----^$now^----^EmploymentStatus
BCC RT Managers, SuiteManager
BCC Terrace, 3^----^$now^----^EmploymentStatus
BCC Wound Team, 1^----^10002317^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMC - Agency Worked, TL*^----^1^----^HomeAcct
BMC - Agency Worked Hrs, TL*^----^1^----^HomeAcct
BMC Ambulatory, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4000650309#4003357500#4004657504#4004657508#4004657512#4004657514#4004657515#4005357500#4006257500#4006857500#4007257502#4007257504#4007350301#4007057500#4007357500^----^*^----^*^----^1^----^$now^----^EmploymentStatus
BMC Radiology, *^----^10002432#10002434#10002437#10002435#10002438#10002439#10002436#10002433#60004001^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
BMC RN CC - Temp Global, Local RT^----^53^----^CustomData^----^Admin*^----^53^----^CustomData^----^CAMOC II^----^53^----^CustomData^----^Careers USA Gen Clk^----^53^----^CustomData^----^CCSR^----^53^----^CustomData^----^Clerical Associate^----^53^----^CustomData^----^CRNA^----^53^----^CustomData^----^Kelly*^----^53^----^CustomData^----^CA/MOC*^----^53^----^CustomData^----^Medical Records Clerk II^----^53^----^CustomData^----^Medix Gen Clk^----^53^----^CustomData^----^Nurse Manager^----^53^----^CustomData^----^PSC*^----^53^----^CustomData^----^SA*^----^53^----^CustomData^----^Staffmark*^----^53^----^CustomData^----^Tech Addictions Therapist^----^53^----^CustomData^----^Tech Autopsy*^----^53^----^CustomData^----^Tech Certified*^----^53^----^CustomData^----^Tech Clinical*^----^53^----^CustomData^----^Tech Medical*^----^53^----^CustomData^----^Tech Phleb*^----^53^----^CustomData^----^Tech Surgical*^----^53^----^CustomData
BMC RN CC - Temp Global Worked, 4001350307#4001350400#4003057200#4004257600#4004257604#4004257605#4004257606#4004657000#4004657001#4004657002#4004657003#4004657004#4004657005#4004657006#4004657007#4004657009#4004657010#4004657407#4006257000#4006257001#4006257002#4006257003#4007157000#4007157001#4007257002#4007257003#4007257004#4007257200#4007257201#410*#4620010010^----^TL1#TL3^----^WorkedAcct
BMCN AMU, 1^----^10002395^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN AMU - INTAKE, 1^----^10002397^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN AMU All Programs, IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob_IncludeChildrenNodes^----^1^----^$now^----^EmploymentStatus
BMCN APU, 1^----^10002394^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN APU/PES, 1^----^10002394#60001301^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN ATS - Group 1, BMCN Group 1^----^GroupSchedule^----^*^----^10002557^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
BMCN ATS - Group 2, *^----^10002557^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^BMCN Group 2^----^GroupSchedule^----^1^----^$now^----^EmploymentStatus
BMCN BCC Global, 3^----^$now^----^EmploymentStatus^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^BB1#BB2#BB3#BB4#BB5#BC1#BC2#BC3#BC4#BC5#BD1#BD2#BD3#BD4#BD5#BD6#BD7#BE1#BE2#BE3#BE4#BE5#BE6#BE7#BE8#BE9#BEA#BEB#BEC#BF1#BF2#BF3#BJ1#BJ2#BX5#BX6#BX7#BY3#C01#C02#C04#C05#C06#C11#C12#C13#C14#C15#C21#C44#B95^----^*
BMCN BCC Global exc RT and JHHSED, 3^----^$now^----^EmploymentStatus
BMCN BCC Global excludes RespTher, 3^----^$now^----^EmploymentStatus
BMCN BICU, 1^----^10002372^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN BWU, 1^----^10003898^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN CAP - Group 1, *^----^10003576^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^BMCN Group 1^----^GroupSchedule^----^1^----^$now^----^EmploymentStatus
BMCN CAP - Group 2, *^----^10003576^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^BMCN Group 2^----^GroupSchedule^----^1^----^$now^----^EmploymentStatus
BMCN CAROL BALL MED UNIT, 1^----^60001880^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN CDU - Outpatient, 1^----^10002396^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN Central Sterile, 1^----^10002368^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN CICU, 1^----^10002377^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN ED, *^----^10002388#10002417^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^3^----^$now^----^EmploymentStatus
BMCN ED + JHHS ED RN, 3^----^$now^----^EmploymentStatus^----^*^----^10002388#60009978#10002417^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
BMCN ED Pediatrics, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4004257607^----^*^----^*
BMCN ED PEDS + INPT PEDS, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4005357001#4004257607^----^*^----^*^----^1^----^$now^----^EmploymentStatus
BMCN ED PEDS + INPT PEDS Scheduled, IN^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintNumberBean.ItemType.ScheduledJobHomeOrTransferIn_IncludeChildrenNodes
BMCN EDUCATION, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4001350305^----^*^----^*^----^1^----^$now^----^EmploymentStatus
BMCN Escort, 1^----^10002362^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN FCC, 1^----^60001326^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN FLOAT CA, 1^----^10002363^----^HomeAcct^----^=^----^1^----^962^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob^----^1^----^$now^----^EmploymentStatus
BMCN Float Pool, 1^----^10002363^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN Float Pool - Not Termed, 1^----^10002363^----^HomeAcct
BMCN Float Pool Scheduled, IN^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintNumberBean.ItemType.ScheduledJobHomeOrTransferIn_IncludeChildrenNodes^----^*^----^*^----^4001350400#4500150306^----^*^----^*^----^*^----^*^----^WorkedAcct
BMCN Global, IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob_IncludeChildrenNodes^----^1^----^$now^----^EmploymentStatus
BMCN Hemodialysis, 1^----^10002392^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
BMCN Holidays, HS02^----^1^----^HomeAcct
BMCN INT Traveler, 1^----^$now^----^EmploymentStatus
BMCN LD, 1^----^10002380^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN Med A, 1^----^10002391^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN MED B, 1^----^10002393^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN MED B Scheduled, =^----^1097^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintNumberBean.ItemType.ScheduledJobHomeOrTransferIn_IncludeChildrenNodes^----^*^----^*^----^4004657005^----^*^----^*^----^*^----^*^----^WorkedAcct
BMCN Med Burton 4, 1^----^$now^----^EmploymentStatus^----^*^----^60011929^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
BMCN Med D, 1^----^$now^----^EmploymentStatus^----^*^----^60010303^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
BMCN Med NP4, 3^----^$now^----^EmploymentStatus^----^=^----^40605^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintNumberBean.ItemType.ScheduledJobHomeOrTransferIn_IncludeChildrenNodes
BMCN MICU, *^----^10002378^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^3^----^$now^----^EmploymentStatus
BMCN NBN, 1^----^10002382^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN NCCU, 1^----^10002369^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN NCCU/NSU, 1^----^10002369#10002370^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN NCCU/NSU Scheduled, IN^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintNumberBean.ItemType.ScheduledJobHomeOrTransferIn_IncludeChildrenNodes
BMCN NICU, 1^----^10002383^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN NNP, 1^----^10002414^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
BMCN NSU, 1^----^10002370^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
BMCN Nursing Administration, 3^----^$now^----^EmploymentStatus
BMCN Nursing Practice IP EDU, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4001350305^----^*^----^*
BMCN Nursing Recruitment, 4001350308^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN OBGYN, 1^----^10002380#10002381#10002382#60001326^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN Oncall Hours, HS02^----^1^----^HomeAcct
BMCN OR, 3^----^$now^----^EmploymentStatus
BMCN PACU, 1^----^10002373^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN Patient Safety, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4000850302^----^*^----^*
BMCN PCMs, 1^----^$now^----^EmploymentStatus
BMCN PCU, 1^----^10002376^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN PEDS, 1^----^10002384^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN Periop, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4007257201^----^*^----^*
BMCN PES, 1^----^60001301^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN Scheduled / Worked @ MEDB, 3^----^$now^----^EmploymentStatus
BMCN SICU, 1^----^10002371^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN SICU Scheduled, =^----^1266^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintNumberBean.ItemType.ScheduledJobHomeOrTransferIn_IncludeChildrenNodes^----^*^----^*^----^4007257002^----^*^----^*^----^*^----^*^----^WorkedAcct
BMCN Staffing Office, 3^----^$now^----^EmploymentStatus
BMCN SURG, 1^----^10002366^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN Trauma Coordinator, 1^----^10002367^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
BMCN WENZ, 1^----^10003776^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
BMCN WENZ Overflow, 3^----^$now^----^EmploymentStatus^----^=^----^40561^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintNumberBean.ItemType.ScheduledJobHomeOrTransferIn_IncludeChildrenNodes
BMCN-Agency Working in ENDO, 1^----^$now^----^EmploymentStatus
BMCN-Nursing Admin Mgmt, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4801310007#4500150305^----^JR2^----^*^----^1^----^$now^----^EmploymentStatus
BMC-Patient Safety Ctr, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4000850302^----^*^----^*^----^1^----^$now^----^EmploymentStatus
BUCRISIS CACRISIS W/ ABSENCE, BUCRISIS#CACRISIS^----^*^----^*^----^*^----^*^----^*^----^*^----^WorkedAcct
Casemix CDE Global, 1^----^$now^----^EmploymentStatus
