SHORTNM,VALUETXT
0 - JHH Global,*
0 - JHH Global,*
0 - JHH Global,480*
0 - JHH Global,*
0 - JHH Global,*
0 - JHH Global,*
0 - JHH Global,*
0 - JHH Global,WorkedAcct
0 - JHH Leased RCPs,=
0 - JHH Leased RCPs,1
0 - JHH Leased RCPs,707
0 - JHH Leased RCPs,com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
0 - JHH Leased RCPs,*
0 - JHH Leased RCPs,*
0 - JHH Leased RCPs,HomeAcct
0 - JHH Leased RCPs,1
0 - JHH Leased RCPs,*
0 - JHH Leased RCPs,*
0 - JHH Leased RCPs,*
0 - JHH Leased RCPs,TL2
0 - JHH Leased RCPs,*
1 RESP Adult,BJ2
1 RESP Adult,1
1 RESP Adult,HomeAcct
1 RESP Adult,3
1 RESP Adult,$now
1 RESP Adult,EmploymentStatus
1 RESP Adult,=
1 RESP Adult,1
1 RESP Adult,687
1 RESP Adult,com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
aaa SMH - PCC,00325758# 00199140# 00326619# 00239542# 00245114# 00318975# 00320916# 00189562# 00333367# 00188243# 00211514# 00326269# 00289023# 00322484
aaa SMH - PCC,PersonNum
Accrual Balances for PPL,UN01#UN02#UN03#UN04#UN05#UN06#UN07#UN08#UN09#UN10#UN11#UN12#UN14#UN15#UN16#UN17
Accrual Balances for PPL,*
Accrual Balances for PPL,HomeAcct
Accrual Balances for PPL,1
Accrual Balances for PPL,*
Accrual Balances for PPL,*
Accrual Balances for PPL,*
Accrual Balances for PPL,*
Accrual Balances for PPL,*
Accrual Balances for PPL,1
Accrual Balances for PPL,$now
Accrual Balances for PPL,EmploymentStatus
Accrual Balances for PPL,1601
Accrual Balances for PPL,Balance
Accrual Balances for PPL,0
Accrual Balances for PPL,Hours
Accrual Balances for PPL,AccrualItem
Accrual Balances in Negatives,UN01#UN02#UN03#UN04#UN05#UN06#UN07#UN08#UN09#UN10#UN11#UN12#UN14#UN15#UN16#UN17
Accrual Balances in Negatives,1
Accrual Balances in Negatives,HomeAcct
Accrual Balances in Negatives,1
Accrual Balances in Negatives,$now
Accrual Balances in Negatives,EmploymentStatus
Accrual Balances more than 0 - HS01,3
Accrual Balances more than 0 - HS01,$now
Accrual Balances more than 0 - HS01,EmploymentStatus
Accrual Balances more than 0 - HS01,HS01
Accrual Balances more than 0 - HS01,*
Accrual Balances more than 0 - HS01,HomeAcct
Accrual Balances more than 0 - HS01,1
Accrual Balances more than 0 - HS01,*
Accrual Balances more than 0 - HS01,*
Accrual Balances more than 0 - HS01,*
Accrual Balances more than 0 - HS01,*
Accrual Balances more than 0 - HS01,*
Accrual Balances more than 0 - HS02,3
Accrual Balances more than 0 - HS02,$now
Accrual Balances more than 0 - HS02,EmploymentStatus
Accrual Balances more than 0 - HS02,HS02
Accrual Balances more than 0 - HS02,*
Accrual Balances more than 0 - HS02,HomeAcct
Accrual Balances more than 0 - HS02,1
Accrual Balances more than 0 - HS02,*
Accrual Balances more than 0 - HS02,*
Accrual Balances more than 0 - HS02,*
Accrual Balances more than 0 - HS02,*
Accrual Balances more than 0 - HS02,*
Accrual Balances more than 0 - HS03,3
Accrual Balances more than 0 - HS03,$now
Accrual Balances more than 0 - HS03,EmploymentStatus
Accrual Balances more than 0 - HS03,HS03
Accrual Balances more than 0 - HS03,*
Accrual Balances more than 0 - HS03,HomeAcct
Accrual Balances more than 0 - HS03,1
Accrual Balances more than 0 - HS03,*
Accrual Balances more than 0 - HS03,*
Accrual Balances more than 0 - HS03,*
Accrual Balances more than 0 - HS03,*
Accrual Balances more than 0 - HS03,*
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,3
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,$now
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,EmploymentStatus
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,HS04#HS05#HS07#HS08
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,*
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,HomeAcct
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,1
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,*
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,*
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,*
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,*
Accrual Balances more than 0 - HS04-HS05-HS07-HS08,*
Accrual Balances more than 0 - HS06,3
Accrual Balances more than 0 - HS06,$now
Accrual Balances more than 0 - HS06,EmploymentStatus
Accrual Balances more than 0 - HS06,HS06
Accrual Balances more than 0 - HS06,*
Accrual Balances more than 0 - HS06,HomeAcct
Accrual Balances more than 0 - HS06,1
Accrual Balances more than 0 - HS06,*
Accrual Balances more than 0 - HS06,*
Accrual Balances more than 0 - HS06,*
Accrual Balances more than 0 - HS06,*
Accrual Balances more than 0 - HS06,*
Accrual Balances more than 0 - HS10,3
Accrual Balances more than 0 - HS10,$now
Accrual Balances more than 0 - HS10,EmploymentStatus
Accrual Balances more than 0 - HS10,HS10
Accrual Balances more than 0 - HS10,*
Accrual Balances more than 0 - HS10,HomeAcct
Accrual Balances more than 0 - HS10,1
Accrual Balances more than 0 - HS10,*
Accrual Balances more than 0 - HS10,*
Accrual Balances more than 0 - HS10,*
Accrual Balances more than 0 - HS10,*
Accrual Balances more than 0 - HS10,*
Accrual Balances more than 0 - HS11,3
Accrual Balances more than 0 - HS11,$now
Accrual Balances more than 0 - HS11,EmploymentStatus
Accrual Balances more than 0 - HS11,HS11
Accrual Balances more than 0 - HS11,*
Accrual Balances more than 0 - HS11,HomeAcct
Accrual Balances more than 0 - HS11,1
Accrual Balances more than 0 - HS11,*
Accrual Balances more than 0 - HS11,*
Accrual Balances more than 0 - HS11,*
Accrual Balances more than 0 - HS11,*
Accrual Balances more than 0 - HS11,*
Accrual Balances more than 0 - HS20-HS21,3
Accrual Balances more than 0 - HS20-HS21,$now
Accrual Balances more than 0 - HS20-HS21,EmploymentStatus
Accrual Balances more than 0 - HS20-HS21,HS20#HS21
Accrual Balances more than 0 - HS20-HS21,*
Accrual Balances more than 0 - HS20-HS21,HomeAcct
Accrual Balances more than 0 - HS20-HS21,1
Accrual Balances more than 0 - HS20-HS21,*
Accrual Balances more than 0 - HS20-HS21,*
Accrual Balances more than 0 - HS20-HS21,*
Accrual Balances more than 0 - HS20-HS21,*
Accrual Balances more than 0 - HS20-HS21,*
Accrual Balances more than 0 - HS30-HS31-HS32,3
Accrual Balances more than 0 - HS30-HS31-HS32,$now
Accrual Balances more than 0 - HS30-HS31-HS32,EmploymentStatus
Accrual Balances more than 0 - HS30-HS31-HS32,HS30#HS31#HS32
Accrual Balances more than 0 - HS30-HS31-HS32,*
Accrual Balances more than 0 - HS30-HS31-HS32,HomeAcct
Accrual Balances more than 0 - HS30-HS31-HS32,1
Accrual Balances more than 0 - HS30-HS31-HS32,*
Accrual Balances more than 0 - HS30-HS31-HS32,*
Accrual Balances more than 0 - HS30-HS31-HS32,*
Accrual Balances more than 0 - HS30-HS31-HS32,*
Accrual Balances more than 0 - HS30-HS31-HS32,*
Accrual Balances more than 0 - HS40,3
Accrual Balances more than 0 - HS40,$now
Accrual Balances more than 0 - HS40,EmploymentStatus
Accrual Balances more than 0 - HS40,HS40
Accrual Balances more than 0 - HS40,*
Accrual Balances more than 0 - HS40,HomeAcct
Accrual Balances more than 0 - HS40,1
Accrual Balances more than 0 - HS40,*
Accrual Balances more than 0 - HS40,*
Accrual Balances more than 0 - HS40,*
Accrual Balances more than 0 - HS40,*
Accrual Balances more than 0 - HS40,*
Accrual Balances more than 0 - HS50,3
Accrual Balances more than 0 - HS50,$now
Accrual Balances more than 0 - HS50,EmploymentStatus
Accrual Balances more than 0 - HS50,HS50
Accrual Balances more than 0 - HS50,*
Accrual Balances more than 0 - HS50,HomeAcct
Accrual Balances more than 0 - HS50,1
Accrual Balances more than 0 - HS50,*
Accrual Balances more than 0 - HS50,*
Accrual Balances more than 0 - HS50,*
Accrual Balances more than 0 - HS50,*
Accrual Balances more than 0 - HS50,*
ACH Part Time,=
ACH Part Time,5952
ACH Part Time,PayRule
ACH-60005822-6550087517,6550087517
ACH-60005822-6550087517,1
ACH-60005822-6550087517,60005822
ACH-60005822-6550087517,HomeAcct
ACH-60005822-6550087517,1
ACH-60005822-6550087517,$now
ACH-60005822-6550087517,EmploymentStatus
ACH-60005929-6550087517,6550087517
ACH-60005929-6550087517,1
ACH-60005929-6550087517,60005929
ACH-60005929-6550087517,HomeAcct
ACH-60005929-6550087517,1
ACH-60005929-6550087517,$now
ACH-60005929-6550087517,EmploymentStatus
ACH-60005958-6500002402,6500002402
ACH-60005958-6500002402,1
ACH-60005958-6500002402,60005958
ACH-60005958-6500002402,HomeAcct
ACH-60005958-6500002402,1
ACH-60005958-6500002402,$now
ACH-60005958-6500002402,EmploymentStatus
ACH-6500000100 Nurse Adm,6500000100
ACH-6500000100 Nurse Adm,1
ACH-6500000100 Nurse Adm,HomeAcct
ACH-6500000100 Nurse Adm,1
ACH-6500000100 Nurse Adm,$now
ACH-6500000100 Nurse Adm,EmploymentStatus
ACH-6500001004 Advanced org,6500001004
ACH-6500001004 Advanced org,1
ACH-6500001004 Advanced org,60005793
ACH-6500001004 Advanced org,HomeAcct
ACH-6500001004 Advanced org,1
ACH-6500001004 Advanced org,$now
ACH-6500001004 Advanced org,EmploymentStatus
ACH-6500001004 Basic Org Unit,1
ACH-6500001004 Basic Org Unit,$now
ACH-6500001004 Basic Org Unit,EmploymentStatus
ACH-6500002003 Plant Opr Engin,1
ACH-6500002003 Plant Opr Engin,$now
ACH-6500002003 Plant Opr Engin,EmploymentStatus
ACH-6500002003 Plant Opr Engin,6500002003
ACH-6500002003 Plant Opr Engin,1
ACH-6500002003 Plant Opr Engin,HomeAcct
ACH-Agency and Non-employees,*
ACH-Agency and Non-employees,*
ACH-Agency and Non-employees,HomeAcct
ACH-Agency and Non-employees,0
ACH-Agency and Non-employees,*
ACH-Agency and Non-employees,*
ACH-Agency and Non-employees,*
ACH-Agency and Non-employees,TL1#TL7
ACH-Agency and Non-employees,*
ACH-All Active Employees,HS50
ACH-All Active Employees,1
ACH-All Active Employees,HomeAcct
ACH-All Active Employees,*
ACH-All Active Employees,*
ACH-All Active Employees,HomeAcct
ACH-All Active Employees,1
ACH-All Active Employees,*
ACH-All Active Employees,*
ACH-All Active Employees,*
ACH-All Active Employees,TL1#TL7
ACH-All Active Employees,*
ACH-All Active Employees,1
ACH-All Active Employees,$now
ACH-All Active Employees,EmploymentStatus
ACH-All Active Employees,1
ACH-All Active Employees,$now
ACH-All Active Employees,UserStatus
ACH-All Home-Active and Terms,HS50
ACH-All Home-Active and Terms,1
ACH-All Home-Active and Terms,HomeAcct
ACH-All Worked Active and Term,HS50
ACH-All Worked Active and Term,WorkedAcct
ACH-Call Back or On Call Hours,HS50
ACH-Call Back or On Call Hours,1
ACH-Call Back or On Call Hours,HomeAcct
ACH-Call Back w/no On-Call Hrs,HS50
ACH-Call Back w/no On-Call Hrs,1
ACH-Call Back w/no On-Call Hrs,HomeAcct
ACH-Call Back w/no On-Call Hrs,402
ACH-Call Back w/no On-Call Hrs,0
ACH-Call Back w/no On-Call Hrs,Hours
ACH-Call Back w/no On-Call Hrs,WorkedItem
ACH-Call Back w/no On-Call Hrs,107
ACH-Call Back w/no On-Call Hrs,0
ACH-Call Back w/no On-Call Hrs,Hours
ACH-Call Back w/no On-Call Hrs,WorkedItem
ACH-Call Back w/no On-Call Hrs,6533
ACH-Call Back w/no On-Call Hrs,0
ACH-Call Back w/no On-Call Hrs,Hours
ACH-Call Back w/no On-Call Hrs,WorkedItem
ACH-Call Back w/no On-Call Hrs,6534
ACH-Call Back w/no On-Call Hrs,0
ACH-Call Back w/no On-Call Hrs,Hours
ACH-Call Back w/no On-Call Hrs,WorkedItem
ACH-Call Back w/no On-Call Hrs,6535
ACH-Call Back w/no On-Call Hrs,0
ACH-Call Back w/no On-Call Hrs,Hours
ACH-Call Back w/no On-Call Hrs,WorkedItem
ACH-DF20,HS50
ACH-DF20,1
ACH-DF20,HomeAcct
ACH-DF20,*
ACH-DF20,*
ACH-DF20,HomeAcct
ACH-DF20,1
ACH-DF20,*
ACH-DF20,*
ACH-DF20,*
ACH-DF20,TL1#TL7
ACH-DF20,*
ACH-DF20,1
ACH-DF20,$now
ACH-DF20,EmploymentStatus
ACH-DF20,1
ACH-DF20,$now
ACH-DF20,UserStatus
ACH-DF20,9351
ACH-DF20,0:01
ACH-DF20,Hours
ACH-DF20,WorkedItem
ACH-Exceptions,HS50
ACH-Exceptions,1
ACH-Exceptions,HomeAcct
ACH-Exempt 8,=
ACH-Exempt 8,3502
ACH-Exempt 8,PayRule
ACH-Exempt Employees,1
ACH-Exempt Employees,$now
ACH-Exempt Employees,EmploymentStatus
ACH-Exempt Employees,HS50
ACH-Exempt Employees,1
ACH-Exempt Employees,HomeAcct
ACH-FMLA/STD/EIB Hours,HS50
ACH-FMLA/STD/EIB Hours,1
ACH-FMLA/STD/EIB Hours,HomeAcct
ACH-MDs,*
ACH-MDs,*
ACH-MDs,HomeAcct
ACH-MDs,1
ACH-MDs,*
ACH-MDs,*
ACH-MDs,*
ACH-MDs,*
ACH-MDs,80800100#80800200#80800300#80800400#80900100#80900200#80900300#80900400#80900500#80900600#80900700#80900800#80900900#80901000#80901100#80901200#80901300#80902000
ACH-MDs,1
ACH-MDs,$now
ACH-MDs,EmploymentStatus
ACH-Missed Punch or Unexcused,UnexcusedAbsence
ACH-MRI-6500001404,6500001404
ACH-MRI-6500001404,0
ACH-MRI-6500001404,HomeAcct
ACH-MRI-6500001404,1
ACH-MRI-6500001404,$now
ACH-MRI-6500001404,EmploymentStatus
ACH-Non-Exempt Employees,1
ACH-Non-Exempt Employees,$now
ACH-Non-Exempt Employees,EmploymentStatus
ACH-Non-Productive Hours,6566
ACH-Non-Productive Hours,0
ACH-Non-Productive Hours,Hours
ACH-Non-Productive Hours,WorkedItem
ACH-Non-Productive Hours,HS50
ACH-Non-Productive Hours,1
ACH-Non-Productive Hours,HomeAcct
ACH-Sodexo Employees,*
ACH-Sodexo Employees,*
ACH-Sodexo Employees,HomeAcct
ACH-Sodexo Employees,0
ACH-Sodexo Employees,*
ACH-Sodexo Employees,*
ACH-Sodexo Employees,*
ACH-Sodexo Employees,TL1#TL7
ACH-Sodexo Employees,*
ACH-Sodexo Employees,1
ACH-Sodexo Employees,$now
ACH-Sodexo Employees,UserStatus
ACH-Transferred-In Employees,1
ACH-Transferred-In Employees,$now
ACH-Transferred-In Employees,EmploymentStatus
ACH-Transferred-In Employees,HS50
ACH-Transferred-In Employees,WorkedAcctTransfer
ACH-Unpaid Time,6508
ACH-Unpaid Time,1
ACH-Unpaid Time,Hours
ACH-Unpaid Time,WorkedItem
ACH-Unpaid Time,HS50
ACH-Unpaid Time,1
ACH-Unpaid Time,HomeAcct
Active Exceptions (All Home),3
Active Exceptions (All Home),$now
Active Exceptions (All Home),EmploymentStatus
AdmReg-60012051-Rev Cycle I JHH,*
AdmReg-60012051-Rev Cycle I JHH,60012051
AdmReg-60012051-Rev Cycle I JHH,HomeAcct
AdmReg-60012051-Rev Cycle I JHH,1
AdmReg-60012051-Rev Cycle I JHH,*
AdmReg-60012051-Rev Cycle I JHH,*
AdmReg-60012051-Rev Cycle I JHH,*
AdmReg-60012051-Rev Cycle I JHH,*
AdmReg-60012051-Rev Cycle I JHH,*
AdmReg-60012051-Rev Cycle I JHH,1
AdmReg-60012051-Rev Cycle I JHH,$now
AdmReg-60012051-Rev Cycle I JHH,EmploymentStatus
AdmReg-60012052-Rev Cycle I JHBMC,*
AdmReg-60012052-Rev Cycle I JHBMC,60012052
AdmReg-60012052-Rev Cycle I JHBMC,HomeAcct
AdmReg-60012052-Rev Cycle I JHBMC,1
AdmReg-60012052-Rev Cycle I JHBMC,*
AdmReg-60012052-Rev Cycle I JHBMC,*
AdmReg-60012052-Rev Cycle I JHBMC,*
AdmReg-60012052-Rev Cycle I JHBMC,*
AdmReg-60012052-Rev Cycle I JHBMC,*
AdmReg-60012052-Rev Cycle I JHBMC,1
AdmReg-60012052-Rev Cycle I JHBMC,$now
AdmReg-60012052-Rev Cycle I JHBMC,EmploymentStatus
AdmReg-60012062-Rev Cycle II JHH,*
AdmReg-60012062-Rev Cycle II JHH,60012062
AdmReg-60012062-Rev Cycle II JHH,HomeAcct
AdmReg-60012062-Rev Cycle II JHH,1
AdmReg-60012062-Rev Cycle II JHH,*
AdmReg-60012062-Rev Cycle II JHH,*
AdmReg-60012062-Rev Cycle II JHH,*
AdmReg-60012062-Rev Cycle II JHH,*
AdmReg-60012062-Rev Cycle II JHH,*
AdmReg-60012062-Rev Cycle II JHH,1
AdmReg-60012062-Rev Cycle II JHH,$now
AdmReg-60012062-Rev Cycle II JHH,EmploymentStatus
AdmReg-60012063-Mgmt Svcs III,*
AdmReg-60012063-Mgmt Svcs III,60012063
AdmReg-60012063-Mgmt Svcs III,HomeAcct
AdmReg-60012063-Mgmt Svcs III,1
AdmReg-60012063-Mgmt Svcs III,*
AdmReg-60012063-Mgmt Svcs III,*
AdmReg-60012063-Mgmt Svcs III,*
AdmReg-60012063-Mgmt Svcs III,*
AdmReg-60012063-Mgmt Svcs III,*
AdmReg-60012063-Mgmt Svcs III,1
AdmReg-60012063-Mgmt Svcs III,$now
AdmReg-60012063-Mgmt Svcs III,EmploymentStatus
AdmReg-60012064-Mgmt Svcs II,*
AdmReg-60012064-Mgmt Svcs II,60012064
AdmReg-60012064-Mgmt Svcs II,HomeAcct
AdmReg-60012064-Mgmt Svcs II,1
AdmReg-60012064-Mgmt Svcs II,*
AdmReg-60012064-Mgmt Svcs II,*
AdmReg-60012064-Mgmt Svcs II,*
AdmReg-60012064-Mgmt Svcs II,*
AdmReg-60012064-Mgmt Svcs II,*
AdmReg-60012064-Mgmt Svcs II,1
AdmReg-60012064-Mgmt Svcs II,$now
AdmReg-60012064-Mgmt Svcs II,EmploymentStatus
AdmReg-60012065-Rev Cycle VII JHH,*
AdmReg-60012065-Rev Cycle VII JHH,60012065
AdmReg-60012065-Rev Cycle VII JHH,HomeAcct
AdmReg-60012065-Rev Cycle VII JHH,1
AdmReg-60012065-Rev Cycle VII JHH,*
AdmReg-60012065-Rev Cycle VII JHH,*
AdmReg-60012065-Rev Cycle VII JHH,*
AdmReg-60012065-Rev Cycle VII JHH,*
AdmReg-60012065-Rev Cycle VII JHH,*
AdmReg-60012065-Rev Cycle VII JHH,1
AdmReg-60012065-Rev Cycle VII JHH,$now
AdmReg-60012065-Rev Cycle VII JHH,EmploymentStatus
AdmReg-60012066-Rev Cycle IX JHH,*
AdmReg-60012066-Rev Cycle IX JHH,60012066
AdmReg-60012066-Rev Cycle IX JHH,HomeAcct
AdmReg-60012066-Rev Cycle IX JHH,1
AdmReg-60012066-Rev Cycle IX JHH,*
AdmReg-60012066-Rev Cycle IX JHH,*
AdmReg-60012066-Rev Cycle IX JHH,*
AdmReg-60012066-Rev Cycle IX JHH,*
AdmReg-60012066-Rev Cycle IX JHH,*
AdmReg-60012066-Rev Cycle IX JHH,1
AdmReg-60012066-Rev Cycle IX JHH,$now
AdmReg-60012066-Rev Cycle IX JHH,EmploymentStatus
AdmReg-60012067-Rev Cycle VIII JHH,*
AdmReg-60012067-Rev Cycle VIII JHH,60012067
AdmReg-60012067-Rev Cycle VIII JHH,HomeAcct
AdmReg-60012067-Rev Cycle VIII JHH,1
AdmReg-60012067-Rev Cycle VIII JHH,*
AdmReg-60012067-Rev Cycle VIII JHH,*
AdmReg-60012067-Rev Cycle VIII JHH,*
AdmReg-60012067-Rev Cycle VIII JHH,*
AdmReg-60012067-Rev Cycle VIII JHH,*
AdmReg-60012067-Rev Cycle VIII JHH,1
AdmReg-60012067-Rev Cycle VIII JHH,$now
AdmReg-60012067-Rev Cycle VIII JHH,EmploymentStatus
AdmReg-60012068-Rev Cycle VI JHH,*
AdmReg-60012068-Rev Cycle VI JHH,60012068
AdmReg-60012068-Rev Cycle VI JHH,HomeAcct
AdmReg-60012068-Rev Cycle VI JHH,1
AdmReg-60012068-Rev Cycle VI JHH,*
AdmReg-60012068-Rev Cycle VI JHH,*
AdmReg-60012068-Rev Cycle VI JHH,*
AdmReg-60012068-Rev Cycle VI JHH,*
AdmReg-60012068-Rev Cycle VI JHH,*
AdmReg-60012068-Rev Cycle VI JHH,1
AdmReg-60012068-Rev Cycle VI JHH,$now
AdmReg-60012068-Rev Cycle VI JHH,EmploymentStatus
AdmReg-60012069-Rev Cycle V JHH,*
AdmReg-60012069-Rev Cycle V JHH,60012069
AdmReg-60012069-Rev Cycle V JHH,HomeAcct
AdmReg-60012069-Rev Cycle V JHH,1
AdmReg-60012069-Rev Cycle V JHH,*
AdmReg-60012069-Rev Cycle V JHH,*
AdmReg-60012069-Rev Cycle V JHH,*
AdmReg-60012069-Rev Cycle V JHH,*
AdmReg-60012069-Rev Cycle V JHH,*
AdmReg-60012070-Rev Cycle IV JHH,*
AdmReg-60012070-Rev Cycle IV JHH,60012070
AdmReg-60012070-Rev Cycle IV JHH,HomeAcct
AdmReg-60012070-Rev Cycle IV JHH,1
AdmReg-60012070-Rev Cycle IV JHH,*
AdmReg-60012070-Rev Cycle IV JHH,*
AdmReg-60012070-Rev Cycle IV JHH,*
AdmReg-60012070-Rev Cycle IV JHH,*
AdmReg-60012070-Rev Cycle IV JHH,*
AdmReg-60012070-Rev Cycle IV JHH,1
AdmReg-60012070-Rev Cycle IV JHH,$now
AdmReg-60012070-Rev Cycle IV JHH,EmploymentStatus
AdmReg-60012071-Rev Cycle III JHH,*
AdmReg-60012071-Rev Cycle III JHH,60012071
AdmReg-60012071-Rev Cycle III JHH,HomeAcct
AdmReg-60012071-Rev Cycle III JHH,1
AdmReg-60012071-Rev Cycle III JHH,*
AdmReg-60012071-Rev Cycle III JHH,*
AdmReg-60012071-Rev Cycle III JHH,*
AdmReg-60012071-Rev Cycle III JHH,*
AdmReg-60012071-Rev Cycle III JHH,*
AdmReg-60012071-Rev Cycle III JHH,1
AdmReg-60012071-Rev Cycle III JHH,$now
AdmReg-60012071-Rev Cycle III JHH,EmploymentStatus
AdmReg-60012101-Mgmt Svcs IV,*
AdmReg-60012101-Mgmt Svcs IV,60012101
AdmReg-60012101-Mgmt Svcs IV,HomeAcct
AdmReg-60012101-Mgmt Svcs IV,1
AdmReg-60012101-Mgmt Svcs IV,*
AdmReg-60012101-Mgmt Svcs IV,*
AdmReg-60012101-Mgmt Svcs IV,*
AdmReg-60012101-Mgmt Svcs IV,*
AdmReg-60012101-Mgmt Svcs IV,*
AdmReg-60012101-Mgmt Svcs IV,1
AdmReg-60012101-Mgmt Svcs IV,$now
AdmReg-60012101-Mgmt Svcs IV,EmploymentStatus
Agency - Missed Punches,MissedPunch
Agency Hours - Global,1
Agency Hours - Global,$now
Agency Hours - Global,EmploymentStatus
Agency Hours - Global,*
Agency Hours - Global,*
Agency Hours - Global,HomeAcct
Agency Hours - Global,1
Agency Hours - Global,*
Agency Hours - Global,*
Agency Hours - Global,*
Agency Hours - Global,TL1#TL2#TL3#TL4#TL5#TL6#TL7#TL8#TL9
Agency Hours - Global,*
Agency Hours - Intrastaff,1
Agency Hours - Intrastaff,$now
Agency Hours - Intrastaff,EmploymentStatus
Agency Hours - Intrastaff,*
Agency Hours - Intrastaff,*
Agency Hours - Intrastaff,HomeAcct
Agency Hours - Intrastaff,1
Agency Hours - Intrastaff,*
Agency Hours - Intrastaff,*
Agency Hours - Intrastaff,*
Agency Hours - Intrastaff,TL1
Agency Hours - Intrastaff,*
Agency with Transfers,TL*
Agency with Transfers,1
Agency with Transfers,HomeAcct
All Home,*
All Home,*
All Home,HomeAcct
All Home,1
All Home,*
All Home,*
All Home,*
All Home,TL1#TL2#TL3#TL4#TL5#TL6#TL7#TL8#TL9#S00
All Home,*
All Home employee active as of 3.1.2020,*
All Home employee active as of 3.1.2020,*
All Home employee active as of 3.1.2020,HomeAcct
All Home employee active as of 3.1.2020,1
All Home employee active as of 3.1.2020,*
All Home employee active as of 3.1.2020,*
All Home employee active as of 3.1.2020,*
All Home employee active as of 3.1.2020,TL1#TL2#TL3#TL4#TL5#TL6#TL7#TL8#TL9#S00
All Home employee active as of 3.1.2020,*
All Home employee active as of 3.1.2020,1
All Home employee active as of 3.1.2020,{ts '2020-03-01 00:00:00.0'}
All Home employee active as of 3.1.2020,EmploymentStatus
ASC GS - OR - GROUP A - PINK,ASC GS OR - Group A - PINK
ASC GS - OR - GROUP A - PINK,GroupSchedule
ASC GS - OR - GROUP A - PINK,IN
ASC GS - OR - GROUP A - PINK,1
ASC GS - OR - GROUP A - PINK,34,363,354,543,437,700,000,000,000,000,000,000,000,000,000,000,000
ASC GS - OR - GROUP A - PINK,com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ASC GS - OR - GROUP B - Brown,ASC GS OR - Group B - BROWN
ASC GS - OR - GROUP B - Brown,GroupSchedule
ASC GS - OR - GROUP B - Brown,IN
