Hyperfind Name,Description,Cost Center,Org Unit,Employment Status,Schedule Group
Hyperfind Name,Hyperfind Name - Cost Center Org Unit Schedule Group,Employment Status
HCGH-6408815000-Diabetes,HCGH-6408815000-Diabetes - 6408815000,Y
HCGH-6408820000-Wound Care,HCGH-6408820000-Wound Care - 6408820000,Y
HCGH-6408830000-AC Clinic,HCGH-6408830000-AC Clinic - 6408830000,Y
HCGH-6408845000-Breast Health,HCGH-6408845000-Breast Health - 6408845000,Y
HCGH-6408910000-Dietary,HCGH-6408910000-Dietary - 6408910000,Y
HCGH-6408920000-Cafeteria,HCGH-6408920000-Cafeteria - 6408920000,Y
HCGH-6408930000-Catering,HCGH-6408930000-Catering - 6408930000,Y
HCGH-6408940000-Vending,HCGH-6408940000-Vending - 6408940000,Y
HCGH-6419110000-HHF,HCGH-6419110000-HHF - 6419110000,Y
SEC-Transportation-10001794,SEC-Transportation-10001794 - 10001794,Y
SH-6005408626,SH-6005408626 - 6005408625#6005408626,Y
SH-Hrs in Float Tier II-III,SH-Hrs in Float Tier II-III -,Y
SH-Pat Care Techs-ED Techs,SH-Pat Care Techs-ED Techs -,Y
SH-Human Resources Group,SH-Human Resources Group -,Y
SH-RNs Unit Float,SH-RNs Unit Float -,Y
SH-Unsch Shifts Nursing Div,SH-Unsch Shifts Nursing Div - 6001116015#6001116016#6001116018#6001116020#6001116021#6001126340#6001126348#6001136381#6001146280#6001206375#6001206378#6001326362#6001406022#6001408750#6001508620#6001606347#6002407450#6002407456#6021206375,Y
SH-WEA Misc Hours Audit,SH-WEA Misc Hours Audit - 40364400,Y
SH-WEA RNs,SH-WEA RNs -,Y
SH-WEA Weekday Hours Check,SH-WEA Weekday Hours Check -,Y
SH-6001116012-SH 5200,SH-6001116012-SH 5200 - 6001116012,Y
SH-6001116015-ADULT SURGICAL,SH-6001116015-ADULT SURGICAL - 6001116015,Y
SH-6001116016-ORHTO-NEURO,SH-6001116016-ORHTO-NEURO - 6001116016,Y
SH-6001116018-ONCOLOGY,SH-6001116018-ONCOLOGY - 6001116018,Y
SH-6001116019-6400-MS2,SH-6001116019-6400-MS2 - 6001116019,Y
SH-6001116020-MED SURG,SH-6001116020-MED SURG - 6001116020,Y
SH-6001116021-ACUTE MED SURG,SH-6001116021-ACUTE MED SURG - 6001116021,Y
SH-6001116022-SH 4800,SH-6001116022-SH 4800 - 6001116022,Y
SH-6001116023-SH 4700,SH-6001116023-SH 4700 - 6001116023,Y
SH-6001116024-SH 3700,SH-6001116024-SH 3700 - 6001116024,Y
SH-6001116025-SH 3800,SH-6001116025-SH 3800 - 6001116025,Y
SH-6001116026-SH 4300,SH-6001116026-SH 4300 - 6001116026,Y
SH-6001116029-SH 3200,SH-6001116029-SH 3200 - 6001116029,Y
SH-6001126340-ICU,SH-6001126340-ICU - 6001126340,Y
SH-6001126341-STEPDOWN,SH-6001126341-STEPDOWN - 6001126341,Y
SH-6001136381-PEDIATRICS,SH-6001136381-PEDIATRICS - 6001136381,Y
SH-6001146280-CARDIOLOGY,SH-6001146280-CARDIOLOGY - 6001146280,Y
SH-6001156013-ADT-REHAB,SH-6001156013-ADT-REHAB - 6001156013,Y
SH-6001156343-BHU,SH-6001156343-BHU - 6001156343,Y
SH-6001206375-TRAUMA,SH-6001206375-TRAUMA - 6001206375,Y
SH-6001206377-CDU,SH-6001206377-CDU - 6001206377,Y
SH-6001206378-ER-TRAUMA,SH-6001206378-ER-TRAUMA - 6001206378,Y
SH-6001208683-SH ER SPECIALTY CARE UNIT,SH-6001208683-SH ER SPECIALTY CARE UNIT - 6001208683,Y
SH-6001316357-OR-OPHTH,SH-6001316357-OR-OPHTH - 6001316357,Y
SH-6001316358-OR-NEURO,SH-6001316358-OR-NEURO - 6001316358,Y
SH-6001316360-OR ADMIN,SH-6001316360-OR ADMIN - 6001316360,Y
SH-6001316363-CV OR,SH-6001316363-CV OR - 6001316363,Y
SH-6001326362-OR MINOR,SH-6001326362-OR MINOR - 6001326362,Y
SH-6001326372-IVF,SH-6001326372-IVF - 6001326372,Y
SH-6001336361-PRESURGICAL TST,SH-6001336361-PRESURGICAL TST - 6001336361,Y
SH-6001336365-PACU,SH-6001336365-PACU - 6001336365,Y
SH-6001337435-ANESTHESIA,SH-6001337435-ANESTHESIA - 6001337435,Y
SH-6001338465-STERILE PROCESS,SH-6001338465-STERILE PROCESS - 6001338465,Y
SH-6001338718-RNFA,SH-6001338718-RNFA - 6001338718,Y
SH-6001406022-FLOATS HOME,SH-6001406022-FLOATS HOME - 6001406022,Y
SH-6001406373-NOT USED,SH-6001406373-NOT USED - 6001406373,Y
SH-6001408750-NURSING ADMIN,SH-6001408750-NURSING ADMIN - 6001408750,Y
SH-6001408751-NURSING ED,SH-6001408751-NURSING ED - 6001408751,Y
SH-6001508350-CARE COORDINATIO,SH-6001508350-CARE COORDINATIO - 6001508350,Y
SH-6001508620-EMPLOYEE HEALTH,SH-6001508620-EMPLOYEE HEALTH - 6001508620,Y
SH-6001508652-ELDERWELL,SH-6001508652-ELDERWELL - 6001508652,Y
SH-6001606025-OUTPATIENT INF,SH-6001606025-OUTPATIENT INF - 6001606025,Y
SH-6001606030-DIALYSIS,SH-6001606030-DIALYSIS - 6001606030,Y
SH-6001606345-DAY TREATMENT,SH-6001606345-DAY TREATMENT - 6001606345,Y
SH-6001606346-CRISIS INTERVENT,SH-6001606346-CRISIS INTERVENT - 6001606346,Y
SH-6001606347-RAP RESP TEAM,SH-6001606347-RAP RESP TEAM - 6001606347,Y
SH-6001607436-RESPIRATORY THER,SH-6001607436-RESPIRATORY THER - 6001607436,Y
SH-6001608674-ATC CO YOUNG AD,SH-6001608674-ATC CO YOUNG AD - 6001608674,Y
SH-6001608675-ATC MONTROSE,SH-6001608675-ATC MONTROSE - 6001608675,Y
SH-6002107402-ROUTINE CORELAB,SH-6002107402-ROUTINE CORELAB - 6002107402,Y
SH-6002107404-MICROBIOLOGY,SH-6002107404-MICROBIOLOGY - 6002107404,Y
SH-6002107405-PATHOLOGY,SH-6002107405-PATHOLOGY - 6002107405,Y
SH-6002107406-OUTREACH LAB,SH-6002107406-OUTREACH LAB - 6002107406,Y
SH-6002107408-PHLEBOTOMY,SH-6002107408-PHLEBOTOMY - 6002107408,Y
SH-6002107409-LAB ADMIN,SH-6002107409-LAB ADMIN - 6002107409,Y
SH-6002107410-BLOOD BANK,SH-6002107410-BLOOD BANK - 6002107410,Y
SH-6002107503-LAB OPMC,SH-6002107503-LAB OPMC - 6002107503,Y
SH-6002207420-RADIOLOGY ADMIN,SH-6002207420-RADIOLOGY ADMIN - 6002207420,Y
SH-6002207421-RADIOLOGY,SH-6002207421-RADIOLOGY - 6002207421,Y
SH-6002207422-CT SCAN,SH-6002207422-CT SCAN - 6002207422,Y
SH-6002207424-NUCLEAR MED,SH-6002207424-NUCLEAR MED - 6002207424,Y
SH-6002207426-INTERVENT ANGIO,SH-6002207426-INTERVENT ANGIO - 6002207426,Y
SH-6002207428-MRI,SH-6002207428-MRI - 6002207428,Y
SH-6002207430-ULTRASOUND,SH-6002207430-ULTRASOUND - 6002207430,Y
SH-6002307437-PHYSICAL THERAPY,SH-6002307437-PHYSICAL THERAPY - 6002307437,Y
SH-6002307438-OCC THERAPY,SH-6002307438-OCC THERAPY - 6002307438,Y
SH-6002307439-ORTHO SERVICES,SH-6002307439-ORTHO SERVICES - 6002307439,Y
SH-6002307442-SPEECH THERAPY,SH-6002307442-SPEECH THERAPY - 6002307442,Y
SH-6002407414-CARDIAC REHAB,SH-6002407414-CARDIAC REHAB - 6002407414,Y
SH-6002407415-EKG,SH-6002407415-EKG - 6002407415,Y
SH-6002407416-EEG,SH-6002407416-EEG - 6002407416,Y
SH-6002407417-CV ADMIN,SH-6002407417-CV ADMIN - 6002407417,Y
SH-6002407450-CV SHORT STAY,SH-6002407450-CV SHORT STAY - 6002407450,Y
SH-6002407456-CATH LAB 3300,SH-6002407456-CATH LAB 3300 - 6002407456,Y
SH-6002407474-VEIN-VASC CTR,SH-6002407474-VEIN-VASC CTR - 6002407474,Y
SH-6002506026-STROKE,SH-6002506026-STROKE - 6002506026,Y
SH-6002506285-CANCER CENTER,SH-6002506285-CANCER CENTER - 6002506285,Y
SH-6002507502-RAD THERAP-ACC,SH-6002507502-RAD THERAP-ACC - 6002507502,Y
SH-6002508470-PHARMACY,SH-6002508470-PHARMACY - 6002508470,Y
SH-6002508752-CLIN SUPP SVCS,SH-6002508752-CLIN SUPP SVCS - 6002508752,Y
SH-6003107448-LIPID LAB,SH-6003107448-LIPID LAB - 6003107448,Y
SH-6003107477-NIH STROKE,SH-6003107477-NIH STROKE - 6003107477,Y
SH-6003507481-ISCHEMIC,SH-6003507481-ISCHEMIC - 6003507481,Y
SH-6003507484-ODYSSEY,SH-6003507484-ODYSSEY - 6003507484,Y
SH-6003507486-AMGEN RES,SH-6003507486-AMGEN RES - 6003507486,Y
SH-6003507489-PUMA,SH-6003507489-PUMA - 6003507489,Y
SH-6003507493-CSA-AKI,SH-6003507493-CSA-AKI - 6003507493,Y
SH-6003507494-EVARREST,SH-6003507494-EVARREST - 6003507494,Y
SH-6003508688-CAPRES,SH-6003508688-CAPRES - 6003508688,Y
SH-6004008102-DIV-SUP CH MGMT,SH-6004008102-DIV-SUP CH MGMT - 6004008102,Y
SH-6004008310-PAT FOOD SVCS,SH-6004008310-PAT FOOD SVCS - 6004008310,Y
SH-6004008311-CAFETER-PANTRY,SH-6004008311-CAFETER-PANTRY - 6004008311,Y
SH-6004008318-MEDIA-CONF SVCS,SH-6004008318-MEDIA-CONF SVCS - 6004008318,Y
SH-6004008330-LAUNDRY-LINEN,SH-6004008330-LAUNDRY-LINEN - 6004008330,Y
SH-6004008331-LINEN,SH-6004008331-LINEN - 6004008331,Y
SH-6004008410-PLANT OPERATION,SH-6004008410-PLANT OPERATION - 6004008410,Y
SH-6004008411-MAINT-ENGIN,SH-6004008411-MAINT-ENGIN - 6004008411,Y
SH-6004008412-FACILITIES IMPRO,SH-6004008412-FACILITIES IMPRO - 6004008412,Y
SH-6004008450-HOUSEKEEPING,SH-6004008450-HOUSEKEEPING - 6004008450,Y
SH-6004008460-DISTRIBUTION,SH-6004008460-DISTRIBUTION - 6004008460,Y
SH-6004008541-SECURITY,SH-6004008541-SECURITY - 6004008541,Y
SH-6004008543-TRANSPORTATION,SH-6004008543-TRANSPORTATION - 6004008543,Y
SH-6004008690-SUPPLY CHAIN,SH-6004008690-SUPPLY CHAIN - 6004008690,Y
SH-6005108510-ACCOUNTING,SH-6005108510-ACCOUNTING - 6005108510,Y
SH-6005108516-FINANCE,SH-6005108516-FINANCE - 6005108516,Y
SH-6005108520-PATIENT ACCTS,SH-6005108520-PATIENT ACCTS - 6005108520,Y
SH-6005108523-CASH R/D,SH-6005108523-CASH R/D - 6005108523,Y
SH-6005108524-PAT ACCESS-FCS,SH-6005108524-PAT ACCESS-FCS - 6005108524,Y
SH-6005108525-PAT ACCESS-ADM,SH-6005108525-PAT ACCESS-ADM - 6005108525,Y
SH-6005208618-HUMAN RESOURCES,SH-6005208618-HUMAN RESOURCES - 6005208618,Y
SH-6005208917-HR RECRUITMENT,SH-6005208917-HR RECRUITMENT - 6005208917,Y
SH-6005308615-TELECOM,SH-6005308615-TELECOM - 6005308615,Y
SH-6005308621-DATA PROC,SH-6005308621-DATA PROC - 6005308621,Y
SH-6005308697-INFO SYSTEMS TEC,SH-6005308697-INFO SYSTEMS TEC - 6005308697,Y
SH-6005408612-COMMUNICATIONS,SH-6005408612-COMMUNICATIONS - 6005408612,Y
SH-6005408613-PLANNING,SH-6005408613-PLANNING - 6005408613,Y
SH-6005408614-VOLUNTEERS,SH-6005408614-VOLUNTEERS - 6005408614,Y
SH-6005408616-GIFT SHOP,SH-6005408616-GIFT SHOP - 6005408616,Y
SH-6005408627-SAFETY,SH-6005408627-SAFETY - 6005408627,Y
SH-6005408630-LIFELINE,SH-6005408630-LIFELINE - 6005408630,Y
SH-6005408636-SUB CALL CENTER,SH-6005408636-SUB CALL CENTER - 6005408636,Y
SH-6005408658-OASIS MONTGOMERY,SH-6005408658-OASIS MONTGOMERY - 6005408658,Y
SH-6005408678-HEARTWELL,SH-6005408678-HEARTWELL - 6005408678,Y
SH-6005408681-OFC PT FAM EXP,SH-6005408681-OFC PT FAM EXP - 6005408681,Y
SH-6005408710-MEDICAL RECORDS,SH-6005408710-MEDICAL RECORDS - 6005408710,Y
SH-6005408712-CLINIC DOC IMP,SH-6005408712-CLINIC DOC IMP - 6005408712,Y
SH-6005505992-BAD DEBT,SH-6005505992-BAD DEBT - 6005505992,Y
SH-6006106026-STROKE,SH-6006106026-STROKE - 6006106026,Y
SH-6006106340-ICU,SH-6006106340-ICU - 6006106340,Y
SH-6006106351-ENT,SH-6006106351-ENT - 6006106351,Y
SH-6006106353-UROLOGY,SH-6006106353-UROLOGY - 6006106353,Y
SH-6006106375-TRAUMA,SH-6006106375-TRAUMA - 6006106375,Y
SH-6006107415-EKG,SH-6006107415-EKG - 6006107415,Y
SH-6006107417-CV ADMIN,SH-6006107417-CV ADMIN - 6006107417,Y
SH-6006107435-ANESTHESIA,SH-6006107435-ANESTHESIA - 6006107435,Y
SH-6006107536-BREAST,SH-6006107536-BREAST - 6006107536,Y
SH-6006108605-CORPORATE,SH-6006108605-CORPORATE - 6006108605,Y
SH-6006108721-MEDICAL STAFF,SH-6006108721-MEDICAL STAFF - 6006108721,Y
SH-6006108756-DIABETES,SH-6006108756-DIABETES - 6006108756,Y
SH-6007107380-UBIT,SH-6007107380-UBIT - 6007107380,Y
SH-6007108610-ADMINISTRATION,SH-6007108610-ADMINISTRATION - 6007108610,Y
SH-6008100000-NON DEPT,SH-6008100000-NON DEPT - 6008100000,Y
SH-6008108605-CORPORATE,SH-6008108605-CORPORATE - 6008108605,Y
SH-6008108619-ACTION,SH-6008108619-ACTION - 6008108619,Y
SH-6008108999-NON DEPT,SH-6008108999-NON DEPT - 6008108999,Y
SH-6015408656-FND FOUNDATION,SH-6015408656-FND FOUNDATION - 6015408656,Y
SH-6021337900-PA PHYSI ASSIST,SH-6021337900-PA PHYSI ASSIST - 6021337900,Y
SH-6021337910-PA PHYS ASST CV,SH-6021337910-PA PHYS ASST CV - 6021337910,Y
SH-6111336800-SC OUTPAT SURG,SH-6111336800-SC OUTPAT SURG - 6111336800,Y
SHHS-BHU Excluded,SHHS-BHU Excluded - 6001156343,Y
SHHS-BHU/OR Excluded,SHHS-BHU/OR Excluded - 6001156343,Y
SHHS-Non-Scheduling Users,SHHS-Non-Scheduling Users -,Y
SHHS-OR,SHHS-OR - 6001316360#6001337435,Y
SHP VU Burton 1,SHP VU Burton 1 - 10002309,Y
SHP Wound Team,SHP Wound Team - 10002317,Y
Sibley Grand Oaks,Sibley Grand Oaks -,Y
